fips,country,state,county,level,lat,locationId,long,population,metrics.testPositivityRatio,metrics.testPositivityRatioDetails.source,metrics.caseDensity,metrics.contactTracerCapacityRatio,metrics.infectionRate,metrics.infectionRateCI90,unused1,unused2,metrics.icuCapacityRatio,riskLevels.overall,riskLevels.testPositivityRatio,riskLevels.caseDensity,riskLevels.contactTracerCapacityRatio,riskLevels.infectionRate,unused3,riskLevels.icuCapacityRatio,actuals.cases,actuals.deaths,actuals.positiveTests,actuals.negativeTests,actuals.contactTracers,actuals.hospitalBeds.capacity,actuals.hospitalBeds.currentUsageTotal,actuals.hospitalBeds.currentUsageCovid,unused4,actuals.icuBeds.capacity,actuals.icuBeds.currentUsageTotal,actuals.icuBeds.currentUsageCovid,unused5,actuals.newCases,actuals.vaccinesDistributed,actuals.vaccinationsInitiated,actuals.vaccinationsCompleted,lastUpdatedDate,url,metrics.vaccinationsInitiatedRatio,metrics.vaccinationsCompletedRatio,actuals.newDeaths,actuals.vaccinesAdministered,cdcTransmissionLevel,actuals.vaccinationsAdditionalDose,metrics.vaccinationsAdditionalDoseRatio,metrics.weeklyNewCasesPer100k,hsa,hsaPopulation,actuals.hsaHospitalBeds.capacity,actuals.hsaHospitalBeds.currentUsageTotal,actuals.hsaHospitalBeds.currentUsageCovid,actuals.hsaIcuBeds.capacity,actuals.hsaIcuBeds.currentUsageTotal,actuals.hsaIcuBeds.currentUsageCovid,metrics.bedsWithCovidPatientsRatio,hsaName,actuals.hospitalBeds.weeklyCovidAdmissions,actuals.hsaHospitalBeds.weeklyCovidAdmissions,metrics.weeklyCovidAdmissionsPer100k,communityLevels.cdcCommunityLevel,communityLevels.canCommunityLevel,actuals.vaccinationsFall2022BivalentBooster,metrics.vaccinationsFall2022BivalentBoosterRatio
10100,US,,,cbsa,,iso1:us#cbsa:10100,,42668,,other,,,,,,,,4,4,4,4,4,,4,13391,15,,,,110,53,3,,,,,,0,,30500,25424,2024-07-21,,0.715,0.596,0,,4,12956,0.304,,,,314,138,1,32,7,1,,,12,8,,,,6929,0.162
10140,US,,,cbsa,,iso1:us#cbsa:10140,,75061,,other,,,,,,,1.0,4,4,4,4,4,,3,20689,0,,,,68,63,2,,6,6,1,,0,,52055,47773,2024-07-21,,0.694,0.636,0,,4,25503,0.34,,,,743,614,4,59,42,0,0.035,,6,4,,,0,12675,0.169
10180,US,,,cbsa,,iso1:us#cbsa:10180,,172060,,other,,,,,,,,4,4,4,4,4,,4,52561,472,,,,,,,,,,,,0,,100196,86045,2024-07-21,,0.582,0.5,0,,4,33650,0.196,,,,1472,1214,8,72,63,2,,,,12,,,,13787,0.08
10220,US,,,cbsa,,iso1:us#cbsa:10220,,38284,,other,,,,,,,0.87,4,4,4,4,4,,3,17095,21,,,,78,57,0,,11,10,0,,0,,25166,20497,2024-07-21,,0.657,0.535,0,,4,8341,0.218,,,,115,74,0,11,10,0,0.009,,4,4,,,0,3826,0.1
10300,US,,,cbsa,,iso1:us#cbsa:10300,,98451,,other,,,,,,,0.49,4,4,4,4,4,,0,31362,80,,,,53,35,0,,11,5,0,,0,,56315,53693,2024-07-21,,0.572,0.545,0,,4,29123,0.296,,,,448,329,2,105,90,1,0.016,,5,4,,,0,9478,0.096
10380,US,,,cbsa,,iso1:us#cbsa:10380,,289289,,other,15.7,,0.79,0.27,,,,2,4,2,4,0,,4,105009,0,,,,,,,,,,,,0,,253879,238125,2024-07-21,,0.878,0.823,0,,3,151989,0.525,109.9,,,,,,,,,0.009,,,,2.2,,0,18942,0.065
10420,US,,,cbsa,,iso1:us#cbsa:10420,,703479,,other,,,,,,,0.72,4,4,4,4,4,,1,189961,1669,,,,1533,1156,14,,175,126,8,,0,,484533,454895,2024-07-21,,0.689,0.647,0,,4,272852,0.388,,,,3382,2570,8,374,270,1,,,32,12,,,,133330,0.19
10460,US,,,cbsa,,iso1:us#cbsa:10460,,67490,,other,,,,,,,1.0,4,4,4,4,4,,3,17250,0,,,,78,52,0,,3,3,0,,0,,31611,27766,2024-07-21,,0.468,0.411,0,,4,,,,,,106,60,0,5,5,1,0.011,,8,8,,,0,,
10500,US,,,cbsa,,iso1:us#cbsa:10500,,146726,,other,,,,,,,,4,4,4,4,4,,4,41466,230,,,,,,,,,,,,0,,84086,73400,2024-07-21,,0.573,0.5,0,,4,32031,0.218,,,,1804,1476,22,152,141,9,,,,24,,,,11614,0.079
10540,US,,,cbsa,,iso1:us#cbsa:10540,,129749,,other,,,,,,,0.87,4,4,4,4,4,,3,33695,82,,,,121,70,1,,9,8,0,,0,,81828,74359,2024-07-21,,0.631,0.573,0,,4,41434,0.319,,,,304,228,4,29,25,0,0.014,,4,5,,,0,19496,0.15
10580,US,,,cbsa,,iso1:us#cbsa:10580,,880381,,other,,,,,,,0.68,4,4,4,4,4,,0,236042,537,,,,1981,1591,13,,171,116,15,,0,,766218,679330,2024-07-21,,0.87,0.772,0,,4,414671,0.471,,,,4704,3682,32,405,269,3,0.007,,21,28,,,0,212034,0.241
10620,US,,,cbsa,,iso1:us#cbsa:10620,,62806,,other,,,,,,,0.6,4,4,4,4,4,,0,24223,13,,,,117,64,1,,18,10,0,,0,,29701,28030,2024-07-21,,0.473,0.446,0,,4,15777,0.251,,,,914,683,4,104,82,0,,,5,11,,,,,
