fips,country,state,county,level,lat,locationId,long,population,metrics.testPositivityRatio,metrics.testPositivityRatioDetails.source,metrics.caseDensity,metrics.contactTracerCapacityRatio,metrics.infectionRate,metrics.infectionRateCI90,unused1,unused2,unused3,unused4,unused5,metrics.icuCapacityRatio,riskLevels.overall,riskLevels.testPositivityRatio,riskLevels.caseDensity,riskLevels.contactTracerCapacityRatio,riskLevels.infectionRate,unused6,riskLevels.icuCapacityRatio,actuals.cases,actuals.deaths,actuals.positiveTests,actuals.negativeTests,actuals.contactTracers,actuals.hospitalBeds.capacity,actuals.hospitalBeds.currentUsageTotal,actuals.hospitalBeds.currentUsageCovid,unused7,actuals.icuBeds.capacity,actuals.icuBeds.currentUsageTotal,actuals.icuBeds.currentUsageCovid,unused8,actuals.newCases,actuals.vaccinesDistributed,actuals.vaccinationsInitiated,actuals.vaccinationsCompleted,lastUpdatedDate,url,metrics.vaccinationsInitiatedRatio,metrics.vaccinationsCompletedRatio,actuals.newDeaths,actuals.vaccinesAdministered,cdcTransmissionLevel,actuals.vaccinationsAdditionalDose,metrics.vaccinationsAdditionalDoseRatio,metrics.weeklyNewCasesPer100k,hsa,hsaPopulation,actuals.hsaHospitalBeds.capacity,actuals.hsaHospitalBeds.currentUsageTotal,actuals.hsaHospitalBeds.currentUsageCovid,actuals.hsaIcuBeds.capacity,actuals.hsaIcuBeds.currentUsageTotal,actuals.hsaIcuBeds.currentUsageCovid,metrics.bedsWithCovidPatientsRatio,hsaName,actuals.hospitalBeds.weeklyCovidAdmissions,actuals.hsaHospitalBeds.weeklyCovidAdmissions,metrics.weeklyCovidAdmissionsPer100k,communityLevels.cdcCommunityLevel,communityLevels.canCommunityLevel,actuals.vaccinationsFall2022BivalentBooster,metrics.vaccinationsFall2022BivalentBoosterRatio
02,US,AK,,state,,iso1:us#iso2:us-ak,,731545,,other,,,,,,,,,,0.68,4,4,4,4,4,,0,297588,1468,407826,4442609,235,1093,869,3,,96,65,1,,199,2176065,535718,477592,2024-07-21,https://covidactnow.org/us/alaska-ak,0.732,0.653,0,1328221,4,237614,0.325,,,,,,,,,,0.003,,8,,1.1,,0,103619,0.142
01,US,AL,,state,,iso1:us#iso2:us-al,,4903185,,other,,,,,,,,,,0.81,4,4,4,4,4,,2,1659936,21138,1290946,8067491,404,12795,9775,15,,1534,1246,7,,1297,12349530,3193141,2611593,2024-07-21,https://covidactnow.org/us/alabama-al,0.651,0.533,1,7018011,4,1042014,0.213,,,,,,,,,,0.001,,96,,2.0,,0,376516,0.077
05,US,AR,,state,,iso1:us#iso2:us-ar,,3017804,0.053,other,,,,,,,,,,,4,1,4,4,4,,4,995043,13115,612916,5037399,790,7313,5038,37,,837,631,5,,657,8373210,2115165,1720209,2024-07-21,https://covidactnow.org/us/arkansas-ar,0.701,0.57,0,4874091,1,768625,0.255,,,,,,,,,,,,47,,,,,330572,0.11
04,US,AZ,,state,,iso1:us#iso2:us-az,,7278717,0.113,other,,,,,,,,,,,4,2,4,4,4,,4,2474154,33451,2273044,14298963,396,14376,11487,169,,1554,1043,4,,2608,19959120,5704677,4821350,2024-07-21,https://covidactnow.org/us/arizona-az,0.784,0.662,34,14647405,3,2418342,0.332,,,,,,,,,,,,94,,,,,1147905,0.158
06,US,CA,,state,,iso1:us#iso2:us-ca,,39512223,0.037,other,,,,,,,,,,,4,1,4,4,4,,4,12251820,101886,12345685,168275569,10600,59666,45346,668,,6244,4426,56,,9186,121107865,33613401,29588939,2024-07-21,https://covidactnow.org/us/california-ca,0.851,0.749,109,88487852,0,17459544,0.442,,,,,,,,,,,,651,,,,,8114063,0.205
08,US,CO,,state,,iso1:us#iso2:us-co,,5758736,,other,,,,,,,,,,0.6,4,4,4,4,4,,0,1783663,14385,1790075,17501602,1300,10462,6735,40,,1207,721,5,,1199,17769135,4837792,4248431,2024-07-21,https://covidactnow.org/us/colorado-co,0.84,0.738,14,13033446,4,2460212,0.427,,,,,,,,,,0.004,,80,,1.4,,0,1268501,0.22
09,US,CT,,state,,iso1:us#iso2:us-ct,,3565287,,other,,,,,,,,,,0.74,4,4,4,4,4,,1,982335,12337,1104258,15656219,860,7850,5815,75,,746,550,6,,388,11881825,3670090,2967081,2024-07-21,https://covidactnow.org/us/connecticut-ct,0.95,0.832,3,9040989,4,1652627,0.464,,,,,,,,,,0.01,,44,,1.2,,0,911056,0.256
11,US,DC,,state,,iso1:us#iso2:us-dc,,705749,0.058,other,,,,,,,,,,,4,1,4,4,4,,4,178904,1435,299020,5698274,268,2992,2327,2,,343,263,6,,75,,,,2024-07-21,https://covidactnow.org/us/district_of_columbia-dc,,,1,,1,,,,,,,,,,,,,,12,,,,,,
10,US,DE,,state,,iso1:us#iso2:us-de,,973764,,other,,,,,,,,,,0.72,4,4,4,4,4,,1,333772,3394,363691,3881618,211,2518,1952,29,,177,127,5,,111,3352025,861811,715787,2024-07-21,https://covidactnow.org/us/delaware-de,0.885,0.735,0,2169125,4,369899,0.38,,,,,,,,,,0.012,,26,,2.7,,0,206298,0.212
12,US,FL,,state,,iso1:us#iso2:us-fl,,21477737,,other,,,,,,,,,,0.73,4,4,4,4,4,,1,7572282,88248,8417475,58181372,2600,54450,39861,289,,5968,4377,39,,6937,61526685,17810446,14971549,2024-07-21,https://covidactnow.org/us/florida-fl,0.829,0.697,1109,42267369,4,6583778,0.307,,,,,,,,,,0.005,,415,,1.9,,0,2521516,0.117
